symbol;nazwa
132404;KIEROWNIK MAGAZYNU
132404;Zastępca kierownika magazynu
132405;KIEROWNIK PRZEDSIĘBIORSTWA SPEDYCYJNEGO
132405;Zastępca kierownika przedsiębiorstwa spedycyjnego
132406;KIEROWNIK PRZEDSIĘBIORSTWA TRANSPORTOWEGO
132406;Zastępca kierownika przedsiębiorstwa transportowego
132407;ZAWIADOWCA STACJI
132408;KIEROWNIK PUNKTU SKUPU
132408;Zastępca kierownika punktu skupu
132409;KIEROWNIK DO SPRAW HANDLU ZAGRANICZNEGO
132410;KIEROWNIK DO SPRAW OPTYMALIZACJI ZASOBÓW
132411;KIEROWNIK DO SPRAW TRANSPORTU RUROCIĄGOWEGO
132412;KIEROWNIK DO SPRAW ZARZĄDZANIA FLOTĄ SAMOCHODOWĄ
132490;POZOSTALI KIEROWNICY DO SPRAW LOGISTYKI I DZIEDZIN POKREWNYCH
133001;KIEROWNIK DZIAŁU INFORMATYKI
133001;Zastępca kierownika działu informatyki
133002;KIEROWNIK DZIAŁU W PRZEDSIĘBIORSTWIE TELEKOMUNIKACYJNYM
133002;Zastępca kierownika działu w przedsiębiorstwie telekomunikacyjnym
133003;KIEROWNIK PRZEDSIĘBIORSTWA INFORMATYCZNEGO
133003;Zastępca kierownika przedsiębiorstwa informatycznego
133004;KIEROWNIK PRZEDSIĘBIORSTWA TELEKOMUNIKACYJNEGO
133004;Zastępca kierownika przedsiębiorstwa telekomunikacyjnego
133005;KIEROWNIK ROZWOJU TECHNOLOGII INFORMATYCZNYCH
133005;Zastępca kierownika rozwoju technologii informatycznych
133006;KIEROWNIK ROZWOJU TECHNOLOGII TELEKOMUNIKACYJNYCH
133006;Zastępca kierownika rozwoju technologii telekomunikacyjnych
133007;KIEROWNIK SIECI INFORMATYCZNYCH
133007;Zastępca kierownika sieci informatycznych
133090;POZOSTALI KIEROWNICY DO SPRAW TECHNOLOGII INFORMATYCZNYCH I TELEKOMUNIKACYJNYCH
133090;Zastępcy pozostałych kierowników do spraw technologii informatycznych i telekomunikacyjnych
134101;Dyrektor centrum rozrywki dla dzieci
134101;KIEROWNIK CENTRUM ROZRYWKI DLA DZIECI
134101;Zastępca kierownika  /  dyrektora centrum rozrywki dla dzieci
134102;Dyrektor przedszkola
134102;KIEROWNIK PRZEDSZKOLA
134102;Zastępca kierownika  /  dyrektora przedszkola
134104;Dyrektor żłobka  /  klubu dziecięcego
134104;KIEROWNIK ŻŁOBKA  /  KLUBU DZIECIĘCEGO
134104;Zastępca kierownika  /  dyrektora żłobka / klubu dziecięcego
134105;KIEROWNIK PLACÓWKI WSPARCIA DZIENNEGO
134105;Zastępca kierownika placówki wsparcia dziennego
134106;DYREKTOR OŚRODKA ADOPCYJNEGO
134106;Zastępca dyrektora ośrodka adopcyjnego
134107;DYREKTOR PLACÓWKI OPIEKUŃCZO-WYCHOWAWCZEJ
134107;Kierownik  /  dyrektor domu dziecka
134107;Kierownik  /  dyrektor pogotowia opiekuńczego
134107;Kierownik  /  dyrektor wioski dziecięcej
134107;Zastępca kierownika  /  dyrektora domu dziecka
134107;Zastępca kierownika  /  dyrektora wioski dziecięcej
