pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
0311;0330;Rybołówstwo w wodach morskich;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;"działalność usługowa wspomagająca rybołówstwo morskie, na przykład: pozostała działalność wspomagająca rybołówstwo, gdzie indziej niesklasyfikowana;  kontrola rybołówstwa morskiego (straż rybacka)"
0312;0312;Rybołówstwo w wodach śródlądowych;Rybołówstwo w wodach śródlądowych;"połowy komercyjne ryb w wodach śródlądowych; połowy skorupiaków i mięczaków w wodach śródlądowych;  połowy zwierząt wodnych w wodach śródlądowych;  pozyskiwanie surowców znajdujących się w wodach śródlądowych; pozyskiwanie pozostałych organizmów i surowców: wodorostów i alg"
0312;0330;Rybołówstwo w wodach śródlądowych;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;działalność usługowa wspomagająca rybołówstwo słodkowodne, na przykład: pozostała działalność wspomagająca rybołówstwo, gdzie indziej niesklasyfikowana, kontrola rybołówstwa słodkowodnego (straż rybacka)
0321;0321;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich;Akwakultura w wodach morskich;"hodowla ryb w wodach morskich, w tym chów i hodowla morskich ryb ozdobnych; produkcja jaj małż (ostryg i tym podobnych), larw homarów, krewetek po okresie larwowym, narybku i podrostków narybku;  uprawa wodorostów i alg; hodowla skorupiaków, małż"
0321;0330;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach morskich;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;"działalność usługowa wspomagająca akwakulturę morską, na przykład: pozostała działalność wspomagająca akwakulturę, gdzie indziej niesklasyfikowana; kontrola akwakultury morskiej"
0322;0148;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych;Chów i hodowla pozostałych zwierząt;chów i hodowla ogadów wodnych (słonowodnych lub słodkowodnych)
0322;0322;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych;Akwakultura w wodach śródlądowych;"hodowla ryb w stawach rybnych i wodach śródlądowych, w tym chów i hodowlę ryb ozdobnych w stawach rybnych i w wodach śródlądowych; hodowla skorupiaków, małży, innych mięczaków oraz pozostałych organizmów wodnych w wodach śródlądowych; działalność związana z wylęganiem ryb w stawach i wodach śródlądowych; hodowla żab; uprawa wodorostów i alg w stawach rybnych i wodach śródlądowych (jadalnych lub niejadalnych); uprawa mikroalg słodkowodnych"
0322;0330;Chów i hodowla ryb oraz pozostałych organizmów wodnych w wodach śródlądowych;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;"działalność usługowa wspomagająca akwakulturę słodkowodną, na przykład: pozostała działalność wspomagająca akwakulturę, gdzie indziej niesklasyfikowana; kontrola akwakultury słodkowodnej"
0510;0510;Wydobywanie węgla kamiennego;Wydobywanie węgla kamiennego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
0520;0520;Wydobywanie węgla brunatnego (lignitu);Wydobywanie węgla brunatnego (lignitu);podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
