pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
4778;4755;Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna mebli, sprzętu oświetleniowego, artykułów stołowych oraz pozostałych artykułów użytku domowego;sprzedaż detaliczna sprzętu dla dzieci, na przykład wózków dziecięcych, spacerówek, nosidełek, fotelików samochodowych dla dzieci
4778;4763;Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna sprzętu sportowego; sprzedaż detaliczna broni i amunicji
4778;4769;Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana;"sprzedaż detaliczna artykułów filatelistycznych, numizmatycznych i kolekcjonerskich, na przykład znaczków i monet; działalność komercyjnych galerii sztuki; sprzedaż detaliczna artykułów artystycznych, w tym koralików, gliny, płócien, farb olejnych i akwarelowych"
4778;4774;Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna wyrobów medycznych i ortopedycznych;sprzedaż detaliczna okularów korekcyjnych, soczewek i okularów przeciwsłonecznych
4778;4778;Sprzedaż detaliczna pozostałych nowych wyrobów prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna pozostałych nowych wyrobów;"sprzedaż detaliczna sprzętu fotograficznego i precyzyjnego; sprzedaż detaliczna sprzętu optycznego (z wyłączeniem okularów i soczewek), na przykład teleskopów, mikroskopów, lornetek, sprzedaż detaliczna oleju opałowego do użytku domowego, gazu w butlach, węgla i drewna opałowego, pelletu drzewnego lub biomasy; sprzedaż detaliczna artykułów opakowaniowych; sprzedaż detaliczna artykułów pogrzebowych i cmentarnych, m.in. urny, nagrobki; sprzedaż detaliczna sztucznej biżuterii; sprzedaż detaliczna środków czystości (detergenty, gąbki itp.); sprzedaż detaliczna pamiątek, wyrobów rękodzielniczych i artykułów religijnych; sprzedaż detaliczna artykułów nieżywnościowych, gdzie indziej niesklasyfikowana; sprzedaż detaliczna sztucznych kwiatów i roślin"
4779;4779;Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach;Sprzedaż detaliczna artykułów używanych;"sprzedaż detaliczna używanych książek w sklepach;sprzedaż detaliczna antyków w sklepach; sprzedaż detaliczna pozostałych towarów używanych w sklepach; sprzedaż detaliczna odzieży używanej w sklepach"
4779;4791;Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach;Pośrednictwo w sprzedaży detalicznej niewyspecjalizowanej;działalność detalicznych domów aukcyjnych
4779;4792;Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach;Pośrednictwo w sprzedaży detalicznej wyspecjalizowanej;działalność detalicznych domów aukcyjnych
4781;4711;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych;sprzedaż detaliczna prowadzona na straganach i targowiskach różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków), wśród których powinna jednak przeważać żywność, napoje i wyroby tytoniowe
4781;4721;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna owoców i warzyw;"sprzedaż detaliczna prowadzona na straganach i targowiskach świeżych owoców i warzyw, w tym cięte świeże owoce i warzywa; sprzedaż detaliczna prowadzona na straganach i targowiskach suszonych i zakonserwowanych owoców i warzyw"
4781;4722;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna mięsa i wyrobów z mięsa;"sprzedaż detaliczna prowadzona na straganach i targowiskach mięsa i wyrobów z mięsa, w tym drób i dziczyznę; sprzedaż detaliczna prowadzona na straganach i targowiskach flaków, wyrobów garmażeryjnych (wędlin), mięsa solonego; sprzedaż detaliczna prowadzona na straganach i targowiskach ślimaków"
4781;4723;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna ryb, skorupiaków i mięczaków;"sprzedaż detaliczna prowadzona na straganach i targowiskach ryb, owoców morza, produktów z owoców morza i ich przetworów; sprzedaż detaliczna prowadzona na straganach i targowiskach alg i wodorostów"
4781;4724;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych;"sprzedaż detaliczna prowadzona na straganach i targowiskach chleba i bułek wypiekanych na miejscu ze wstępnie podpieczonych produktów; sprzedaż detaliczna prowadzona na straganach i targowiskach pieczywa gotowego do spożycia, przygotowanego tylko przez maszynę"
4781;4725;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych;"sprzedaż detaliczna prowadzona na straganach i targowiskach napojów alkoholowych i bezalkoholowych bez ich konsumpcji na miejscu lub przygotowanych w lokalu; sprzedaż detaliczna prowadzona na straganach i targowiskach soków owocowych i warzywnych"
4781;4726;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna wyrobów tytoniowych;"sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów tytoniowych w każdej postaci, na przykład papierosów, cygar, tytoniu fajkowego, tytoniu do żucia; sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów tytoniowych i akcesoriów w tym zapalniczek, fajek, urządzeń do skręcania papierosów itp.; sprzedaż detaliczna prowadzona na straganach i targowiskach papierosów elektronicznych (vape) i liquidów do e-papierosów stosowanych w urządzeniach do waporyzacji"
4781;4727;Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach;Sprzedaż detaliczna pozostałej żywności;"sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów mleczarskich, w tym przetworów mlecznych i serowych oraz jaj; sprzedaż detaliczna prowadzona na straganach i targowiskach kawy, herbaty, olejów, mąki, cukru, makaronów i tym podobnych"
4782;4751;Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach;Sprzedaż detaliczna wyrobów tekstylnych;"sprzedaż detaliczna prowadzona na straganach i targowiskach tkanin; sprzedaż detaliczna prowadzona na straganach i targowiskach przędzy dla celów dziewiarskich; sprzedaż detaliczna prowadzona na straganach i targowiskach przędzy do produkcji dywanów"
4782;4771;Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach;Sprzedaż detaliczna odzieży;"sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów odzieżowych, w tym bielizny; sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów futrzarskich; sprzedaż detaliczna prowadzona na straganach i targowiskach akcesoriów odzieżowych m.in. rękawiczki, krawaty, szelki; sprzedaż detaliczna prowadzona na straganach i targowiskach odzieży roboczej, mundurów, przebrań, strojów karnawałowych itp."
4782;4772;Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach;Sprzedaż detaliczna obuwia i wyrobów skórzanych;"sprzedaż detaliczna prowadzona na straganach i targowiskach obuwia; sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów ze skóry; sprzedaż detaliczna prowadzona na straganach i targowiskach przyborów podróżnych ze skóry i jej substytów"
4782;4779;Sprzedaż detaliczna wyrobów tekstylnych, odzieży i obuwia prowadzona na straganach i targowiskach;Sprzedaż detaliczna artykułów używanych;sprzedaż detaliczna prowadzona na straganach i targowiskach używanych tekstyliów i odzieży
4789;4712;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Pozostała sprzedaż detaliczna niewyspecjalizowana;sprzedaż detaliczna prowadzona na straganach i targowiskach różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków, biżuterii, zabawek, artykułów sportowych), wśród których nie przeważa żywność, napoje i wyroby tytoniowe
4789;4740;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej;"sprzedaż detaliczna prowadzona na straganach i targowiskach: komputerów, komputerowych urządzeń peryferyjnych, na przykład drukarek, kserokopiarek, tablic interaktywnych, sprzętu do wideokonferencji, konsoli do gier komputerowych, oprogramowania niedostosowanego do indywidualnych potrzeb, w tym gier wideo, dostarczanych na nośniku fizycznym, z prawem do wieczystego użytkowania; sprzęt audio i wideo; sprzęt radiowy i telewizyjny; nośniki do nagrywania; odtwarzacze i nagrywarki multimedialne do nagrywania; telefony inteligentne, telefony komórkowe i telefony oraz ich akcesoria, m.in. ładowarki, zestawy głośnomówiące, folie ochronne i etui"
4789;4752;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna drobnych wyrobów metalowych, materiałów budowlanych, farb i szkła;"sprzedaż detaliczna prowadzona na straganach i targowiskach: drobnych wyrobów metalowych, farb, lakierów i pokostów, rozpuszczalników, benzyny lakowej i innych produktów drogeryjnych, szkła płaskiego, pozostałych materiałów budowlanych np. cegły, płytki, pustaki, drewno, deski podłogowe, materiały izolacyjne; urządzenia sanitarne i grzewcze; materiały do ​​samodzielnego montażu, materiały i sprzęt elektryczny i hydrauliczny; narzędzia, m.in. młotki, piły, wkrętaki i inne narzędzia ręczne, w tym ręczne elektronarzędzia; materiały energii odnawialnej, m.in. nieelektryczne kolektory słoneczne i panele fotowoltaiczne, bez instalacji; elektryczne lub elektroniczne alarmy przeciwpożarowe, gaśnice, blokady awaryjne, systemy oddymiania, sejfy i skarbce, bez usług instalacyjnych i konserwacyjnych; drzwi i okna oraz okiennice z dowolnego materiału; sprzęt ogrodniczy i małej architektury, m.in. kosiarki; sauny, baseny i SPA, także w zestawach itp., bez montażu"
4789;4753;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych;"sprzedaż detaliczna prowadzona na straganach i targowiskach dywanów i chodników; sprzedaż detaliczna prowadzona "
4789;4754;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego;sprzedaż detaliczna prowadzona na straganach i targowiskach elektrycznego sprzętu gospodarstwa domowego
4789;4755;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna mebli, sprzętu oświetleniowego, artykułów stołowych oraz pozostałych artykułów użytku domowego;sprzedaż detaliczna prowadzona na straganach i targowiskach: mebli w tym materace i podstawy łóżek zawierających sprężyny, sprzętu oświetleniowego, artykułów użytku domowego, sztućców, naczyń, wyrobów ze szkła, zastawy stołowej, porcelany
4789;4761;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna książek;sprzedaż detaliczna prowadzona na straganach i targowiskach książek, w tym audiobooków na nośnikach informacji
4789;4762;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna gazet i pozostałych periodyków oraz artykułów papierniczych;"sprzedaż detaliczna prowadzona na straganach i targowiskach periodyków i czasopism; sprzedaż detaliczna prowadzona na straganach i targowiskach artykułów papierniczych, biurowych i szkolnych, na przykład długopisów, ołówków, papieru"
4789;4763;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna sprzętu sportowego;"sprzedaż detaliczna prowadzona na straganach i targowiskach artykułów sportowych, w tym sprzęt wędkarski, broń i amunicję, artykuły kempingowe i tym podobne; sprzedaż detaliczna prowadzona na straganach i targowiskach łodzi; sprzedaż detaliczna prowadzona za pośrednictwem straganów i targowisk rowerów, w tym rowerów elektrycznych, jednokołowych, hoverboardów, hulajnogów, Segwayów; sprzedaż detaliczna za pośrednictwem straganów i targowisk specjalnego obuwia sportowego, m.in. buty piłkarskie, łyżwy, buty narciarskie; sprzedaż detaliczna za pośrednictwem straganów i targowisk specjalistycznej odzieży sportowej do narciarstwa, sztuk walki, baletu itp.; sprzedaż detaliczna prowadzona na straganach i targowiskach spadochronów, namiotów, śpiworów itp."
4789;4764;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna gier i zabawek;"sprzedaż detaliczna prowadzona na straganach i targowiskach gier i zabawek wykonanych ze wszystkich materiałów, sprzedaż detaliczna prowadzona na straganach i targowiskach artykułów imprezowych na przykład masek, upominków imprezowych (kotyliony, dowcipy, itp.), magicznych przedmiotów; sprzedaż detaliczna za pośrednictwem straganów i targowisk zabawkowych dronów"
4789;4769;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna wyrobów związanych z kulturą i rekreacją, gdzie indziej niesklasyfikowana;"sprzedaż detaliczna prowadzona na straganach i targowiskach zapisanych nośników informacji; sprzedaż detaliczna prowadzona na straganach i targowiskach instrumentów muzycznych, nut i związanych z nimi akcesoriów, na przykład strun, statywów muzycznych"
4789;4774;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna wyrobów medycznych i ortopedycznych;"sprzedaż detaliczna prowadzona na straganach i targowiskach okularów korekcyjnych, soczewek i okularów przeciwsłonecznych; sprzedaż detaliczna prowadzona na straganach i targowiskach aparatów słuchowych; sprzedaż detaliczna prowadzona na straganach i targowiskach obuwia ortopedycznego; sprzedaż detaliczna prowadzona na straganach i targowiskach kul i wózków inwalidzkich; sprzedaż detaliczna za pośrednictwem straganów i targowisk protez ortopedycznych; sprzedaż detaliczna za pośrednictwem straganów i targowisk kołnierzy szyjnych i gorsetów; sprzedaż detaliczna za pośrednictwem straganów i targowisk wyrobów sprężysto-kompresyjnych, m.in. elastyczne pończochy, rękawy; sprzedaż detaliczna prowadzona na straganach i targowiskach okularów przeciwsłonecznych bez korekcji"
4789;4775;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna kosmetyków i artykułów toaletowych;sprzedaż detaliczna prowadzona na straganach i targowiskach perfum, kosmetyków, artykułów toaletowych, środków higieny osobistej i tym podobnych
4789;4776;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna kwiatów, roślin, nawozów, żywych zwierząt domowych i karmy dla zwierząt domowych;"sprzedaż detaliczna prowadzona na straganach i targowiskach nawozów i środków ochrony roślin; sprzedaż detaliczna prowadzona na straganach i targowiskach zwierząt domowych i artykułów dla zwierząt domowych; sprzedaż detaliczna prowadzona na straganach i targowiskach artykułów toaletowych, higienicznych itp. dla zwierząt domowych"
4789;4777;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna zegarków i biżuterii;"sprzedaż detaliczna prowadzona na straganach i targowiskach zegarków i biżuterii; sprzedaż detaliczna prowadzona na straganach i targowiskach wyrobów ze srebra"
4789;4778;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna pozostałych nowych wyrobów;"sprzedaż detaliczna prowadzona na straganach i targowiskach sprzętu fotograficznego i precyzyjnego; sprzedaż detaliczna prowadzona na straganach i targowiskach sprzętu optycznego z wyłączeniem okularów i soczewek, na przykład teleskopów, mikroskopów, "
4789;4779;Sprzedaż detaliczna pozostałych wyrobów prowadzona na straganach i targowiskach;Sprzedaż detaliczna artykułów używanych;"sprzedaż detaliczna prowadzona na straganach i targowiskach używanych książek; sprzedaż detaliczna prowadzona na straganach i targowiskach antyków;  sprzedaż detaliczna prowadzona na straganach i targowiskach mebli używanych; sprzedaż detaliczna prowadzona na straganach i targowiskach używanego sprzętu AGD; sprzedaż detaliczna prowadzona na straganach i targowiskach pozostałych towarów używanych"
4791;4711;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna niewyspecjalizowana z przewagą żywności, napojów lub wyrobów tytoniowych;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków), wśród których powinna jednak przeważać żywność, napoje i wyroby tytoniowe
4791;4712;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Pozostała sprzedaż detaliczna niewyspecjalizowana;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet różnego rodzaju towarów (na przykład odzieży, mebli, urządzeń, sprzętu komputerowego, kosmetyków, biżuterii, zabawek, artykułów sportowych), wśród których nie przeważa żywność, 
4791;4721;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna owoców i warzyw;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet świeżych owoców i warzyw, w tym cięte świeże owoce i warzywa; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet suszonych i zakonserwowanych owoców i warzyw"
4791;4722;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna mięsa i wyrobów z mięsa;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet mięsa i wyrobów z mięsa, w tym drób i dziczyznę; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet flaków, wyrobów garmażeryjnych (wędlin), mięsa solonego; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu ślimaków"
4791;4723;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna ryb, skorupiaków i mięczaków;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet ryb, owoców morza, produktów z owoców morza i ich przetworów;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet alg i wodorostów morskich"
4791;4724;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna pieczywa, ciast, wyrobów ciastkarskich i cukierniczych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet pieczywa, ciast, wyrobów ciastkarskich i cukierniczych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet chleba i bułek wypiekanych na miejscu ze wstępnie upieczonych produktów; sprzedaż detaliczna prowadzona przez domy wysyłkowe lub Internet za pomocą automatów gotowego pieczywa przygotowanego tylko przez maszynę"
4791;4725;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet napojów alkoholowych i bezalkoholowych bez ich konsumpcji na miejscu lub przygotowanych w lokalu, sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet soków owocowych i warzywnych
4791;4726;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna wyrobów tytoniowych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów tytoniowych w każdej postaci, na przykład papierosów, cygar, tytoniu fajkowego, tytoniu do żucia; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internetu wyrobów tytoniowych i tytoniowych oraz akcesoriów, w tym zapalniczek, fajek, urządzeń do skręcania papierosów itp.; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu papierosów elektronicznych i liquidów do e-papierosów stosowanych w urządzeniach do waporyzacji"
4791;4727;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna pozostałej żywności;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet wyrobów mleczarskich, w tym przetworów mlecznych i serowych oraz jaj; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet  kawy, herbaty, olejów, mąki,"
4791;4740;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna narzędzi technologii informacyjnej i komunikacyjnej;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet komputerów; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet komputerowych urządzeń peryferyjnych, na przykład drukarek, kserokopiarek, tablic interaktywnych, sprzętu do wideokonferencji; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu konsol do gier wideo; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem sieci Internet oprogramowania na zamówienie, w tym gier wideo, udostępnianego na nośniku fizycznym, z prawem wieczystego użytkowania; sprzedaż detaliczna sprzętu audio-video prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu sprzętu radiowo-telewizyjnego; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu nośników zapisywalnych; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu odtwarzaczy i nagrywarek do nagrywania; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu smartfonów, telefonów komórkowych i telefonów oraz akcesoriów do nich, m.in. ładowarki, zestawy głośnomówiące, folie ochronne i etui"
4791;4751;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna wyrobów tekstylnych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet tkanin; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet przędzy dla celów dziewiarskich; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet materiałów do wyrobu dywaników, gobelinów i haftów; sprzedaż detaliczna tekstyliów prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona w domach wysyłkowych lub za pośrednictwem Internetu galanterii: igieł, nici do szycia itp.; sprzedaż detaliczna plandek za pośrednictwem domów wysyłkowych lub Internetu; sprzedaż detaliczna bielizny pościelowej prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu"
4791;4752;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna drobnych wyrobów metalowych, materiałów budowlanych, farb i szkła;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet drobnych wyrobów metalowych; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet farb, lakierów i pokostów; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet rozpuszczalników, benzyny lakowej i innych produktów drogeryjnych; sprzedaż detaliczna szkła płaskiego za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu innych materiałów budowlanych, np.: cegły, płytki, pustaki, drewno, deski podłogowe, materiały izolacyjne; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu sprzętu sanitarnego i grzewczego; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu materiałów i sprzętu do samodzielnego wykonania, materiałów elektrycznych i hydraulicznych; sprzedaż detaliczna za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu narzędzi, m.in. młotki, piły, wkrętaki i inne narzędzia ręczne, w tym ręczne elektronarzędzia; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu surowców odnawialnych, m.in. nieelektryczne kolektory słoneczne i panele fotowoltaiczne, bez instalacji; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu elektrycznych lub elektronicznych alarmów przeciwpożarowych, gaśnic, blokad awaryjnych, systemów oddymiania, sejfów i skarbców, bez usług instalacyjnych i konserwacyjnych; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu drzwi i okien oraz okiennic z dowolnego materiału; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu sprzętu; sprzedaż detaliczna farb, lakierów i lakierów prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu rozpuszczalników, benzyny lakowej i innych produktów drogeryjnych; sprzedaż detaliczna szkła płaskiego za pośrednictwem domów sprzedaży wysyłkowej lub Internetu; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu innych materiałów budowlanych, np.: cegły, płytki, pustaki, drewno, deski podłogowe, materiały izolacyjne; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu sprzętu sanitarnego i grzewczego; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu materiałów i sprzętu do samodzielnego wykonania, materiałów elektrycznych i hydraulicznych; sprzedaż detaliczna za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu narzędzi, m.in. młotki, piły, wkrętaki i inne narzędzia ręczne, w tym ręczne elektronarzędzia; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu surowców odnawialnych, m.in. nieelektryczne kolektory słoneczne i panele fotowoltaiczne, bez instalacji; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu elektrycznych lub elektronicznych alarmów przeciwpożarowych, gaśnic, blokad awaryjnych, systemów oddymiania, sejfów i skarbców, bez usług instalacyjnych i konserwacyjnych; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub za pośrednictwem Internetu drzwi i okien oraz okiennic z dowolnego materiału; sprzedaż detaliczna prowadzona za pośrednictwem domów sprzedaży wysyłkowej lub Internetu sprzętu ogrodniczego i małej architektury, m.in. kosiarki"
4791;4753;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna dywanów, chodników i innych pokryć podłogowych oraz pokryć ściennych;"sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet dywanów i chodników; sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet zasłon i firanek;  sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet pokryć ściennych i podłogowych, np.: tapety, płytki, laminaty i podłogi winylowe"
4791;4754;Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet;Sprzedaż detaliczna elektrycznego sprzętu gospodarstwa domowego;sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet elektrycznego sprzętu gospodarstwa domowego
