,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2011-10-19,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-20,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-21,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-24,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-25,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-26,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-27,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-28,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-29,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-30,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-31,718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-02,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-03,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-04,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-06,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-07,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-08,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-09,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-10,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-14,644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-15,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-16,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-17,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-18,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-20,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-21,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-22,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-23,611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-24,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
