id;nazwa;zadania;wykluczenie
2051; Manufacture of liquid biofuels;"This class includes:  manufacture of biodiesel;manufacture of ethanol from biomass;manufacture of mixtures of bio-ethanol and ethers partially derived from biomass;manufacture of liquid biofuels even if processes use waste as an input";"This class excludes:  manufacture of solid fuels from vegetable biomass, see 16.26;manufacture of ethyl alcohol other than for bio-ethanol biofuels, see 20.14;manufacture of explosives, see 20.59"
2059; Manufacture of other chemical products n.e.c.;"This class includes:  manufacture of photographic plates, films, sensitised paper and other sensitised unexposed materials;manufacture of chemical preparations for photographic uses;manufacture of gelatine and its derivatives;manufacture of glues and prepared adhesives, including rubber-based glues and adhesives;manufacture of essential oils;manufacture of extracts of natural aromatic products;manufacture of resinoids;manufacture of mixtures of odoriferous products for the manufacture of perfumes or food;manufacture of propellant powders;manufacture of explosives and pyrotechnic products, including percussion caps, detonators, signalling flares etc.;manufacture of e-liquids used in vaping devices;manufacture of various chemical products: peptones, peptone derivatives, other protein substances and their derivatives n.e.c.;chemically modified oils and fats;materials used in the finishing of textiles and leather;powders and pastes used in soldering, brazing or welding;substances used to pickle metal;prepared additives for cements;activated carbon, lubricating oil additives, prepared rubber accelerators, catalysts and other chemical products for industrial use;anti-knock preparations, antifreeze preparations;liquids for hydraulic transmission;composite diagnostic or laboratory reagents;fuel additives, e.g. based on Ethyl tertiary-butyl ether (ETBE) and Methyl tertiary-butyl ether (MTBE); This class also includes:  manufacture of writing and drawing ink;manufacture of matches";"This class excludes:  manufacture of synthetic aromatic products, see 20.14;manufacture of printing ink, see 20.30;manufacture of perfume and toilet preparations, see 20.42;manufacture of liquid biofuels, see 20.51"
8899; Other social work activities without accommodation n.e.c.;"This class includes:  social, counselling, welfare, refugee, referral and similar services, which are delivered to individuals and families in their homes or elsewhere and carried out by government offices or by private organisations, disaster relief organisations and national or local self-help organisations and by specialists providing counselling services: child and youth support activities;adoption activities, activities for the prevention of cruelty to children and others;household budget counselling, marriage and family guidance, credit and debt counselling services;community and neighbourhood activities;activities for disaster victims, refugees, immigrants etc.;vocational rehabilitation and habilitation activities for unemployed persons provided that the education component is limited;eligibility determination in connection with welfare aid, rent supplements or food stamps;day facilities for the homeless and other socially weak groups;fundraising or other support activities aimed at social work;cultural and intercultural mediation activities aimed at preventing the distress of adults experiencing difficulties in social and labour market integration, removing the social marginalisation of children and adolescents, rehabilitating adults and minors in prison, on probation and out of prison and reintegrating adults to active life;refugee resettlement activities";"This class excludes:  legal mediation activities, see 69.10;funding and administration of compulsory social security programmes, see 84.30;activities similar to those described in this class, but including accommodation, see 87.99"
4650; Wholesale of information and communication equipment;"This group includes the wholesale of information and communication technology (ICT) equipment.This class includes:  wholesale of computers, computer peripheral equipment and parts;wholesale of smart boards;wholesale of non-customised software, including video games, provided on a physical media, with a right to perpetual use;wholesale of electronic valves and tubes;wholesale of semi-conductor devices;wholesale of microchips and integrated circuits;wholesale of printed circuits;wholesale of recordable media;wholesale of telephone and communication equipment, e.g. mobile telephones, modems;wholesale of office machinery and equipment";"This class excludes:  wholesale of recorded media, see 46.49;wholesale of machines for additive manufacturing (3D printers etc.), see 46.64;publishing activities, see division 58"
7751; Intermediation service activities for rental and leasing of cars, motorhomes and trailers;"This class includes the intermediation of the rental and leasing of cars, motorhomes and caravan trailers, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face, including door-to-door, telephone, mail, etc.). The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income, e.g. revenues from sale of advertising space.; This class also includes:  reservation services for car rentals";"This class excludes:  rental of light motor vehicles, see 77.11;rental of heavy motor vehicles, e.g. motorhomes, see 77.12;rental of caravan trailers, see 77.39"
7752; Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets;This class includes the intermediation of the rental and leasing of other tangible goods and non-financial intangible assets, by bringing clients and service providers together for a fee or commission, without the intermediary providing the rental and leasing services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face, including door-to-door, telephone, mail, etc.). The fee or commission can be received from either the client or the provider of the rental and leasing service. Revenue for the intermediation activities can include other sources of income, e.g. revenues from sale of advertising space.This class includes:  providing intermediation between households that offer their goods for rental and households renting the goods, e.g. lawn movers, ladders, bicycles;"This class excludes:  rental and leasing of personal and household goods, see 77.2;units that have ownership of other machinery, equipment and tangible goods and/or non-financial intangible assets ultimately rented and leased, see 77.3 and 77.4"
4664; Wholesale of other machinery and equipment;"This class includes:  wholesale of machinery for the textile industry and of sewing and knitting machines;wholesale of production-line robots;wholesale of machinery for food, beverages and tobacco industry;wholesale of transport equipment, e.g. locomotives, wagons, except motor vehicles, motorcycles and bicycles;wholesale of ships and boats;wholesale of armoured vehicles;wholesale of aircrafts, drones and unmanned aircraft systems;wholesale of equipment for fish farming;wholesale of attractions for amusement and theme parks, e.g. mechanical rides;wholesale of equipment for hairdressers, gyms, solariums and beauty centres;wholesale of event technology equipment for events, fairs and exhibitions;wholesale of other machinery n.e.c. for use in industry, trade and navigation and other services;wholesale of other electrical material, e.g. electrical motors, transformers;wholesale of batteries and accumulators for domestic use;wholesale of wires and switches and other installation equipment for industrial use;wholesale of photovoltaic panels;wholesale of weapons, weapon systems and ammunition;wholesale for box pallets;wholesale of reservoirs, tanks, vats and similar containers, capacity > 300 l, of plastics, for industrial use; This class also includes:  wholesale of measuring instruments and equipment;wholesale of machines for additive manufacturing (3D printers etc.)";"This class excludes:  wholesale of sewing machines household-type, see 46.43;wholesale of non household-type medical equipment, see 46.46;wholesale of recreational boats, see 46.49;wholesale of bicycles, see 46.49;wholesale of mining, construction and civil engineering machinery, see 46.63;wholesale of motor vehicles, including trailers and caravans, see 46.71;wholesale of motor vehicle parts, see 46.72;wholesale of motorcycles, see 46.73;wholesale of scaffoldings, see 46.83;wholesale of batteries and accumulators for motor vehicles, see 46.72;maintenance and repair of motor vehicles, see division 95"
2020; Manufacture of pesticides, disinfectants and other agrochemical products;"This class includes:  manufacture of insecticides, rodenticides, fungicides, herbicides, acaricides, molluscicides, biocides;manufacture of anti-sprouting products, plant growth regulators;manufacture of disinfectants (for agricultural and other use);manufacture of other agrochemical products n.e.c.";This class excludes:  manufacture of fertilisers and nitrogen compounds, see 20.15
4673; Wholesale of motorcycles, motorcycle parts and accessories;"This class includes:  wholesale of new and used motorcycles, including mopeds;wholesale of parts and accessories for motorcycles;wholesale of protective gear for motorcyclists";"This class excludes:  activities of commission agents specialised in the wholesale of motorcycles, see 46.18;wholesale of bicycles, e-bikes and their related parts and accessories, see 46.49;rental of motorcycles, see 77.39;repair and maintenance of motorcycles, see 95.32"
4724; Retail sale of bread, cake and confectionery;"This class also includes:  retail sale of bread and rolls baked on the premises from pre-baked products;retail sale by automatic machines of ready-to-eat bread prepared by the machine itself";This class excludes:  manufacture of bread, fresh pastry goods and cakes, see 10.71
7731; Rental and leasing of agricultural machinery and equipment;This class includes:  rental and operational leasing of agricultural and forestry machinery and equipment without operator: rental of products produced by class 28.30, e.g. agricultural tractors;This class excludes:  rental of agricultural and forestry machinery or equipment with operator, see 01.61, 02.40
4622; Wholesale of flowers and plants;"This class includes:  wholesale of flowers, plants and bulbs;wholesale of seeds of flower and plants";
8810; Social work activities without accommodation for older persons or persons with disabilities;"This class includes:  social, counselling, welfare, referral and similar services, which are aimed at older persons or persons with disabilities in their homes or elsewhere and carried out by government offices or by private organisations, national or local self-help organisations and by specialists providing counselling services: visiting of older persons and persons with disabilities;day-care activities for the older persons or for adults with disabilities;home assistance services for older persons or persons with disabilities;vocational rehabilitation and habilitation activities for persons with physical disabilities, where the education component is limited; This class also includes:- activities of caregivers (home assistance);home care services";"This class excludes:  funding and administration of compulsory social security programmes, see 84.30;activities similar to those described in this class, but including accommodation, see 87.30;day-care activities for children with disabilities, see 88.91"
7740; Leasing of intellectual property and similar products, except copyrighted works;"This class includes the activities of allowing others to use intellectual property products and similar products for which a royalty payment or licensing fee is paid to the owner of the product (i.e. the asset holder). The leasing of these products can take various forms, e.g. permission for reproduction, use in subsequent processes or products, operating businesses under a franchise. The current owners may or may not have created these products.This class includes:  leasing of intellectual property products (except copyrighted works, e.g. books, software);receiving royalties or licensing fees for the use of: patented entities;trademarks or service marks;brand names;mineral exploration and evaluation;franchise agreements;internet domains;rights of designed or developed board games; This class also includes:  receiving royalties or licensing fees for scientific research results";"This class excludes:  acquisition of rights and publishing, see divisions 58, 59;producing, reproducing and distributing copyrighted works (books, software, film), see divisions 58, 59;streaming of content, e.g. software, books, by content publishers, see division 58;audio book streaming activities not associated with its publishing, see 60.10;leasing of real estate, see 68.20;leasing of tangible products (assets), see 77.1, 77.2, 77.3"
4631; Wholesale of fruit and vegetables;"This class includes:  wholesale of fresh fruits and vegetables;wholesale of legumes;wholesale of dried fruits and vegetables;wholesale of preserved fruits and vegetables;wholesale of frozen fruits and vegetables; This class also includes:  wholesale of mushrooms";"This class excludes:  wholesale of fruit and vegetable juices, see 46.34;wholesale of ready-made meals, see 46.38"
9321; Activities of amusement parks and theme parks;"This class includes the activities of amusement parks and theme parks characterised by a permanent and site-based operation of a variety of attractions, e.g. mechanical rides, carousels, games, shooting galleries, shows, theme exhibits, picnic grounds, that are provided under the economic and operational directive of a central operator. These parks are typically located in structurally delimited areas, for which customers must pay admission.; This class also includes:  activities of aqua/water parks";"This class excludes:  operation of gambling or lottery games, see 92.00;operation of mechanical rides, games and shows by independent providers, e.g. at fairgrounds, folk festivals, Christmas markets, see 93.29"
4636; Wholesale of sugar, chocolate and sugar confectionery;"This class includes:  wholesale of sugar, including cube sugar, molasses, sugar confectionery and chocolate;wholesale of bakery products";This class excludes:  wholesale of ice cream, see 46.33
9329; Amusement and recreation activities n.e.c.;"This class includes activities related to entertainment and recreation (except amusement parks and theme parks) not elsewhere classified:  operation (exploitation) of coin-operated games;rental of leisure and pleasure equipment as an integral part of recreational facilities;operation of mechanical rides, games and shows by independent providers, e.g. at fairgrounds, folk festivals, Christmas markets;activities of beaches, including rental of facilities, e.g. bathhouses, lockers, chairs;activities of independent animators in amusement and recreation facilities- operation of dance floors and ballrooms where beverage serving is not the main activity;operation of computer rooms for playing computer games;operation of self-service amusement devices, e.g. rocking chairs/horses/cars/space ships;operation of airsoft and paintball courts- operation of games/experiences of reality virtual or geolocated;amusement and recreation activities related to the infrastructure of marinas;operation of billiard halls;operation of escape rooms- operation of bowling halls- creation and presentation of light and sound shows- activities of guides for underwater excursions- creation and presentation of fireworks;operation of picnic grounds;operation of laser games;entertainment activities in retirement homes; This class also includes:- activities of producers or entrepreneurs of live amusement and recreation events, with or without facilities- technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of non-artistic events";"This class excludes:  transport by cableways, ski lifts and chairlifts, which may include preparation of ski slopes, see 49.34;fishing cruises, see 50.10, 50.30;provision of space and facilities for short stay by visitors in recreational parks and forests and campgrounds, see 55.30;recreational camps, hunting and fishing camps, campsites and campgrounds, see 55.30;mobile food service activities, see 56.12- organisation of conferences, conventions and trade shows, see 82.30- provision of services for fairs, events and exhibition that are part of public order and safety activities, see 84.24- theatrical and circus groups, see 90.20;operation of arts facilities, e.g. concert halls, music clubs, theatre halls, facilities in which artists perform, see 90.31- technical planning, supply, setting up and operation of audiovisual equipment and special effects associated with the organisation of artistic events, see 90.39- operation of gambling or lottery games, see 92.00;operation of sports facilities, e.g. swimming pools, skating rings, see 93.11;activities of water sports clubs (canoeing, rowing sailing, etc.), see 93.12- activities of amusement parks and theme parks, see 93.21"
4752; Retail sale of hardware, building materials, paints and glass;"This class includes:  retail sale of hardware;retail sale of paints, varnishes and lacquers;retail sale of solvents, white spirit and other drugstore products;retail sale of flat glass;retail sale of other building material, e.g. bricks, tiles, breezeblock, wood, floor boards, insulation material;retail sale of sanitary and heating equipment;retail sale of do-it-yourself material, electrical and plumbing material and equipment;retail sale of tools, e.g. hammers, saws, screwdrivers and other hand tools, including power hand tools;retail sale of renewable energy materials, e.g. non-electric solar collectors and photovoltaic panels, without installation;retail sale of electrical or electronic fire alarms, fire extinguishers, emergency blocks, smoke extraction system, safes, and vaults, without installation or maintenance services;retail sale of doors and windows and shutters of any material; This class also includes:  retail sale of garden and landscaping equipment, e.g. lawnmowers;retail sale of saunas, swimming pools and spas, including in kits etc., without installation";"This class excludes:  installation of photovoltaic panels not connected to a building, see 42.22;installation of photovoltaic panels connected to a building, see 43.21;retail sale of wall or floor coverings, e.g. wallpaper, tiles, laminates, vinyl flooring, see 47.53;retail sale of carpets and rugs, see 47.53"
4761; Retail sale of books;This class includes:  retail sale of books, including audio books on physical media;"This class excludes:  retail sale of recorded media, see 47.69;retail sale of antique books, see 47.79;retail sale of second-hand books, see 47.79;distributing e-books and audio books via streaming and downloading by book publishers, see 58.11"
9411; Activities of business and employers membership organisations;"This class includes:  activities of organisations whose members' interests centre on the development and prosperity of enterprises in a particular line of business or trade, including farming, or on the economic growth and climate of a particular geographical area or political subdivision without regard for the line of business;activities of federations of such associations;activities of chambers of commerce, guilds and similar organisations;dissemination of information, representation before government agencies, public relations and labour negotiations of business and employer organisations";"This class excludes:  activities of professional membership organisations, see 94.12;activities of trade unions, see 94.20;activities of other membership organisations n.e.c., see 94.99;activities of international organisations of an administrative nature, see 99.00"
