,data,31001000000,31002000000,31003000000,31004000000,31005000000,31006000000,31009000000
2011-11-14,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-15,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-16,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-17,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-18,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-21,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-22,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-23,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-24,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-25,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-28,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-29,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-30,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-02,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-03,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-04,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-05,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-06,1237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-07,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-08,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-09,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-11,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-12,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-13,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-14,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-15,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-16,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-17,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-18,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-19,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-20,1684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-21,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-22,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-23,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-26,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-27,2211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-28,4714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-29,5933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-30,6130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-02,5324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-03,6744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-04,7060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-05,6901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-06,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-07,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-08,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-09,6377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-10,5970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-11,5409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-12,4797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-13,4591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-14,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-15,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-16,5117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-17,4993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-18,4628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-19,4830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-20,4721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-21,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-22,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-23,4708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-24,4221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-25,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-26,4238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-27,4219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-28,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-29,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-30,6326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-31,8140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,7945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-02,5460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-03,4102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-04,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-05,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-06,4632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-07,4459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-08,4133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-09,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-10,3877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-11,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-12,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-13,4359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-14,3952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-15,3812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-16,3622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-17,3502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-19,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-20,4707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-21,4235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-22,4148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-23,4214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-24,4179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-25,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-26,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-27,6044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-28,6943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-29,10235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,9097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-02,5987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-03,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-04,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-05,5902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-06,4945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-07,4655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-08,3901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-09,3860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-10,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-11,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-12,4730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
