nazwa_2025;rodzaj
Kierowanie działalnością usługową w zakresie ochrony zdrowia, edukacji, kultury oraz pozostałych usług społecznych;NACE Rev. 2 class  84.12 is mapped to NACE Rev. 2.1 class  84.12
Kierowanie w zakresie efektywności gospodarowania;NACE Rev. 2 class  84.13 is mapped to NACE Rev. 2.1 class  84.13
Sprawy zagraniczne;NACE Rev. 2 class  84.21 is mapped to NACE Rev. 2.1 class  84.21
Obrona narodowa;NACE Rev. 2 class  84.22 is mapped to NACE Rev. 2.1 class  84.22
Wymiar sprawiedliwości;NACE Rev. 2 class  84.23 is mapped to NACE Rev. 2.1 class  84.23
Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne;NACE Rev. 2 class  84.24 is mapped to NACE Rev. 2.1 class  84.24
Ochrona przeciwpożarowa;NACE Rev. 2 class  84.25 is mapped to NACE Rev. 2.1 class  84.25
Obowiązkowe ubezpieczenia społeczne;NACE Rev. 2 class  84.30 is mapped to NACE Rev. 2.1 class  84.30
Szkoły podstawowe;NACE Rev. 2 class  85.20 is mapped to NACE Rev. 2.1 class  85.20
Szkoły średnie ogólnokształcące;NACE Rev. 2 class  85.31 is mapped to NACE Rev. 2.1 class  85.31
Szkoły prowadzące szkolenie zawodowe, z wyłączeniem szkół policealnych;NACE Rev. 2 class  85.32 is mapped to NACE Rev. 2.1 class  85.32
Szkoły policealne;NACE Rev. 2 class  85.41 is mapped to NACE Rev. 2.1 class  85.33
Szkoły wyższe;NACE Rev. 2 class  85.42 is mapped to NACE Rev. 2.1 class  85.40
Pozostałe formy edukacji artystycznej;NACE Rev. 2 class  85.52 is mapped to NACE Rev. 2.1 class  85.52
Pozostałe formy edukacji z zakresu nauki jazdy i pilotażu;NACE Rev. 2 class  85.53 is mapped to NACE Rev. 2.1 class  85.53
Pozostałe formy edukacji, gdzie indziej niesklasyfikowane;NACE Rev. 2 class  85.59 is mapped to NACE Rev. 2.1 class  85.59
Działalność wspomagająca edukację, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  85.60 is mapped to NACE Rev. 2.1 class  85.69
Działalność szpitali;NACE Rev. 2 class  86.10 is mapped to NACE Rev. 2.1 class  86.10
Praktyka lekarska ogólna;NACE Rev. 2 class  86.21 is mapped to NACE Rev. 2.1 class  86.21
Praktyka lekarska specjalistyczna;NACE Rev. 2 class  86.22 is mapped to NACE Rev. 2.1 class  86.22
Praktyka dentystyczna;NACE Rev. 2 class  86.23 is mapped to NACE Rev. 2.1 class  86.23
Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską;NACE Rev. 2 class  87.10 is mapped to NACE Rev. 2.1 class  87.10
Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami;NACE Rev. 2 class  87.20 is mapped to NACE Rev. 2.1 class  87.20
Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi;NACE Rev. 2 class  87.30 is mapped to NACE Rev. 2.1 class  87.30
Pozostała pomoc społeczna z zakwaterowaniem gdzie indziej niesklasyfikowana;NACE Rev. 2 class  87.90 is mapped to NACE Rev. 2.1 class  87.99
Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami;NACE Rev. 2 class  88.10 is mapped to NACE Rev. 2.1 class  88.10
Opieka dzienna nad dziećmi;NACE Rev. 2 class  88.91 is mapped to NACE Rev. 2.1 class  88.91
Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  88.99 is mapped to NACE Rev. 2.1 class  88.99
Działalność związana z wystawianiem przedstawień artystycznych;NACE Rev. 2 class  90.01 is mapped to NACE Rev. 2.1 class  90.20
Pozostała działalność wspomagająca działalność twórczą i związaną z wystawianiem przedstawień artystycznych;NACE Rev. 2 class  90.02 is mapped to NACE Rev. 2.1 class  90.39
Działalność obiektów kulturalnych;NACE Rev. 2 class  90.04 is mapped to NACE Rev. 2.1 class  90.31
Działalność muzeów i kolekcji;NACE Rev. 2 class  91.02 is mapped to NACE Rev. 2.1 class  91.21
Działalność związana z miejscami historycznymi i pomnikami;NACE Rev. 2 class  91.03 is mapped to NACE Rev. 2.1 class  91.22
Działalność związana z grami losowymi i zakładami wzajemnymi;NACE Rev. 2 class  92.00 is mapped to NACE Rev. 2.1 class  92.00
Działalność klubów sportowych;NACE Rev. 2 class  93.12 is mapped to NACE Rev. 2.1 class  93.12
Działalność klubów fitness;NACE Rev. 2 class  93.13 is mapped to NACE Rev. 2.1 class  93.13
Działalność organizacji komercyjnych i pracodawców;NACE Rev. 2 class  94.11 is mapped to NACE Rev. 2.1 class  94.11
Działalność organizacji profesjonalnych;NACE Rev. 2 class  94.12 is mapped to NACE Rev. 2.1 class  94.12
Działalność związków zawodowych;NACE Rev. 2 class  94.20 is mapped to NACE Rev. 2.1 class  94.20
Działalność organizacji religijnych;NACE Rev. 2 class  94.91 is mapped to NACE Rev. 2.1 class  94.91
Działalność organizacji politycznych;NACE Rev. 2 class  94.92 is mapped to NACE Rev. 2.1 class  94.92
Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  94.99 is mapped to NACE Rev. 2.1 class  94.99
Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego;NACE Rev. 2 class  95.11 is mapped to NACE Rev. 2.1 class  95.10
Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego;NACE Rev. 2 class  95.12 is mapped to NACE Rev. 2.1 class  95.10
Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku;NACE Rev. 2 class  95.21 is mapped to NACE Rev. 2.1 class  95.21
Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu do użytku domowego i ogrodniczego;NACE Rev. 2 class  95.22 is mapped to NACE Rev. 2.1 class  95.22
Naprawa i konserwacja obuwia i wyrobów skórzanych;NACE Rev. 2 class  95.23 is mapped to NACE Rev. 2.1 class  95.23
Naprawa i konserwacja mebli i wyposażenia domowego;NACE Rev. 2 class  95.24 is mapped to NACE Rev. 2.1 class  95.24
Naprawa i konserwacja zegarów, zegarków oraz biżuterii;NACE Rev. 2 class  95.25 is mapped to NACE Rev. 2.1 class  95.25
Naprawa i konserwacja artykułów użytku osobistego i domowego, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  95.29 is mapped to NACE Rev. 2.1 class  95.29
Pogrzeby i działalność pokrewna;NACE Rev. 2 class  96.03 is mapped to NACE Rev. 2.1 class  96.30
Działalność spa, saun i łaźni parowych;NACE Rev. 2 class  96.04 is mapped to NACE Rev. 2.1 class  96.23
Pozostała działalność usługowa, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  96.09 is mapped to NACE Rev. 2.1 class  96.99
Gospodarstwa domowe zatrudniające pracowników;NACE Rev. 2 class  97.00 is mapped to NACE Rev. 2.1 class  97.00
Gospodarstwa domowe produkujące wyroby na własne potrzeby;NACE Rev. 2 class  98.10 is mapped to NACE Rev. 2.1 class  98.10
Gospodarstwa domowe świadczące usługi na własne potrzeby;NACE Rev. 2 class  98.20 is mapped to NACE Rev. 2.1 class  98.20
Organizacje i zespoły eksterytorialne;NACE Rev. 2 class  99.00 is mapped to NACE Rev. 2.1 class  99.00
