nazwa_2025;rodzaj
Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów;NACE Rev. 2 class  28.93 is mapped to NACE Rev. 2.1 class  28.93
Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego;NACE Rev. 2 class  28.94 is mapped to NACE Rev. 2.1 class  28.94
Produkcja maszyn dla przemysłu papierniczego;NACE Rev. 2 class  28.95 is mapped to NACE Rev. 2.1 class  28.95
Produkcja pojazdów silnikowych z wyłączeniem motocykli;NACE Rev. 2 class  29.10 is mapped to NACE Rev. 2.1 class  29.10
"Produkcja nadwozi do pojazdów silnikowych z wyłączeniem motocykli; produkcja przyczep i naczep";NACE Rev. 2 class  29.20 is mapped to NACE Rev. 2.1 class  29.20
Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych z wyłączeniem motocykli;NACE Rev. 2 class  29.31 is mapped to NACE Rev. 2.1 class  29.31
Produkcja pozostałych części i akcesoriów do pojazdów silnikowych z wyłączeniem motocykli;NACE Rev. 2 class  29.32 is mapped to NACE Rev. 2.1 class  29.32
Produkcja łodzi wycieczkowych i sportowych;NACE Rev. 2 class  30.12 is mapped to NACE Rev. 2.1 class  30.12
Produkcja lokomotyw kolejowych oraz taboru szynowego;NACE Rev. 2 class  30.20 is mapped to NACE Rev. 2.1 class  30.20
Produkcja rowerów i wózków inwalidzkich;NACE Rev. 2 class  30.92 is mapped to NACE Rev. 2.1 class  30.92
Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana;NACE Rev. 2 class  30.99 is mapped to NACE Rev. 2.1 class  30.99
Produkcja mebli;NACE Rev. 2 class  31.01 is mapped to NACE Rev. 2.1 class  31.00
Produkcja mebli;NACE Rev. 2 class  31.02 is mapped to NACE Rev. 2.1 class  31.00
Produkcja mebli;NACE Rev. 2 class  31.03 is mapped to NACE Rev. 2.1 class  31.00
Produkcja mebli;NACE Rev. 2 class  31.09 is mapped to NACE Rev. 2.1 class  31.00
Produkcja monet;NACE Rev. 2 class  32.11 is mapped to NACE Rev. 2.1 class  32.11
Produkcja wyrobów jubilerskich i podobnych;NACE Rev. 2 class  32.12 is mapped to NACE Rev. 2.1 class  32.12
Produkcja sztucznej biżuterii i wyrobów podobnych;NACE Rev. 2 class  32.13 is mapped to NACE Rev. 2.1 class  32.13
Produkcja instrumentów muzycznych;NACE Rev. 2 class  32.20 is mapped to NACE Rev. 2.1 class  32.20
